"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"65","obadele thompson","100M Men",10.04,0.167333333333333,"BAR","Barbados",2000,"B","Sydney","M",3.79e+09,270000,24,182,78,100
"66","linford christie","100M Men",9.96,0.166,"GBR","United Kingdom",1992,"G","Barcelona","M",1.39e+12,57500000,32,189,94,100
"67","frank fredericks","100M Men",10.02,0.167,"NAM","Namibia",1992,"S","Barcelona","M",9.51e+09,1510000,24,180,73,100
"68","dennis mitchell","100M Men",10.04,0.167333333333333,"USA","United States",1992,"B","Barcelona","M",9.73e+12,257000000,26,175,70,100
"69","carl lewis","100M Men",9.99,0.1665,"USA","United States",1984,"G","Los Angeles","M",7.77e+12,239000000,23,188,80,100
"70","sam graddy","100M Men",10.19,0.169833333333333,"USA","United States",1984,"S","Los Angeles","M",7.77e+12,239000000,20,178,70,100
"71","ben johnson","100M Men",10.22,0.170333333333333,"CAN","Canada",1984,"B","Los Angeles","M",7.05e+11,25600000,22,177,75,100
"72","hasely crawford","100M Men",10.06,0.167666666666667,"TTO","Trinidad and Tobago",1976,"G","Montreal","M",1.29e+10,1030000,25,187,90,100
"73","donald quarrie","100M Men",10.08,0.168,"JAM","Jamaica",1976,"S","Montreal","M",1.7e+10,2060000,25,175,70,100
"74","jim hines","100M Men",9.9,0.165,"USA","United States",1968,"G","Mexico","M",4.94e+12,206000000,22,183,81,100
"75","lennox miller","100M Men",10,0.166666666666667,"JAM","Jamaica",1968,"S","Mexico","M",1.41e+10,1830000,22,183,79,100
"76","charlie greene","100M Men",10,0.166666666666667,"USA","United States",1968,"B","Mexico","M",4.94e+12,206000000,23,173,69,100
"77","dave sime","100M Men",10.2,0.17,"USA","United States",1960,"S","Rome","M",3.41e+12,187000000,24,189,81,100
"78","peter radford","100M Men",10.3,0.171666666666667,"GBR","United Kingdom",1960,"B","Rome","M",6.76e+11,52400000,20,180,61,100
"79","lindy remigino","100M Men",10.4,0.173333333333333,"USA","United States",1952,"G","Helsinki","M",2.71e+12,163000000,21,173,67,100
"80","herbert mckenley","100M Men",10.4,0.173333333333333,"JAM","Jamaica",1952,"S","Helsinki","M",5.18e+09,1470000,30,185,72,100
"81","emmanuel mcdonald bailey","100M Men",10.4,0.173333333333333,"GBR","United Kingdom",1952,"B","Helsinki","M",5.36e+11,50700000,31,180,65,100
"82","jesse owens","100M Men",10.3,0.171666666666667,"USA","United States",1936,"G","Berlin","M",1.29e+12,131000000,22,178,71,100
"83","ralph metcalfe","100M Men",10.4,0.173333333333333,"USA","United States",1936,"S","Berlin","M",1.29e+12,131000000,26,180,82,100
"84","percy williams","100M Men",10.8,0.18,"CAN","Canada",1928,"G","Amsterdam","M",8.57e+10,10100000,19,170,56,100
"85","jack london","100M Men",10.9,0.181666666666667,"GBR","United Kingdom",1928,"S","Amsterdam","M",3.45e+11,45600000,23,183,75,100
"86","charles paddock","100M Men",10.8,0.18,"USA","United States",1920,"G","Antwerp","M",9.6e+11,109000000,19,172,75,100
"87","morris kirksey","100M Men",10.8,0.18,"USA","United States",1920,"S","Antwerp","M",9.6e+11,109000000,24,178,77,100
"88","frank jarvis","100M Men",11,0.183333333333333,"USA","United States",1900,"G","Paris","M",5.05e+11,77800000,21,167,58,100
"89","walter tewksbury","100M Men",11.1,0.185,"USA","United States",1900,"S","Paris","M",5.05e+11,77800000,24,183,64,100
"90","stanley rowley","100M Men",11.2,0.186666666666667,"AUS","Australia",1900,"B","Paris","M",2.4e+10,3740000,23,178,71,100
"91","usain bolt","100M Men",9.63,0.1605,"JAM","Jamaica",2012,"G","London","M",2.32e+10,2840000,25,196,95,100
"92","yohan blake","100M Men",9.75,0.1625,"JAM","Jamaica",2012,"S","London","M",2.32e+10,2840000,22,180,80,100
"93","justin gatlin","100M Men",9.79,0.163166666666667,"USA","United States",2012,"B","London","M",1.61e+13,313000000,30,186,80,100
"94","justin gatlin","100M Men",9.85,0.164166666666667,"USA","United States",2004,"G","Athens","M",1.44e+13,293000000,22,186,80,100
