"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"3041","Fanny ""Bobby"" Rosenfeld",1928,"F",23,169,61,"Canada","CAN","Athletics Women's 100 metres","Silver"
"3042","Fanny ""Bobby"" Rosenfeld",1928,"F",23,169,61,"Canada","CAN","Athletics Women's 4 x 100 metres Relay","Gold"
"3043","Harlow Phelps Rothert",1932,"M",24,190,92,"United States","USA","Athletics Men's Shot Put","Silver"
"3044","Georgios Roubanis",1956,"M",27,192,85,"Greece","GRE","Athletics Men's Pole Vault","Bronze"
"3045","Jason Rouser",1996,"M",26,198,84,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"3046","Mark Robert Rowland",1988,"M",25,183,68,"Great Britain","GBR","Athletics Men's 3,000 metres Steeplechase","Bronze"
"3047","Stanley Rupert ""Stan"" Rowley",1900,"M",23,178,71,"Australia","AUS","Athletics Men's 60 metres","Bronze"
"3048","Stanley Rupert ""Stan"" Rowley",1900,"M",23,178,71,"Australia","AUS","Athletics Men's 100 metres","Bronze"
"3049","Stanley Rupert ""Stan"" Rowley",1900,"M",23,178,71,"Australia","AUS","Athletics Men's 200 metres","Bronze"
"3050","Stanley Rupert ""Stan"" Rowley",1900,"M",23,178,71,"Amateur Athletic Association","AUS","Athletics Men's 5,000 metres, Team","Gold"
"3051","Lancelot Carrington ""Lance"" Royle",1924,"M",25,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay","Silver"
"3052","Istvn Rzsavlgyi (Reidl-)",1960,"M",31,177,58,"Hungary","HUN","Athletics Men's 1,500 metres","Bronze"
"3053","Sndor Rozsnyi (Rosner-)",1956,"M",25,185,71,"Hungary","HUN","Athletics Men's 3,000 metres Steeplechase","Silver"
"3054","Anja Rcker",1996,"F",23,174,58,"Germany","GER","Athletics Women's 4 x 400 metres Relay","Bronze"
"3055","Anette Rckes (-Vater-Hlsdnker)",1972,"F",20,177,64,"West Germany","FRG","Athletics Women's 4 x 400 metres Relay","Bronze"
"3056","Bevil Gordon d'Urban Rudd",1920,"M",24,180,77,"South Africa","RSA","Athletics Men's 400 metres","Gold"
"3057","Bevil Gordon d'Urban Rudd",1920,"M",24,180,77,"South Africa","RSA","Athletics Men's 800 metres","Bronze"
"3058","Bevil Gordon d'Urban Rudd",1920,"M",24,180,77,"South Africa","RSA","Athletics Men's 4 x 400 metres Relay","Silver"
"3059","Vasily Vasilyevich Rudenkov",1960,"M",29,187,96,"Soviet Union","URS","Athletics Men's Hammer Throw","Gold"
"3060","Daniel Matasi Rudisha",1968,"M",23,180,76,"Kenya","KEN","Athletics Men's 4 x 400 metres Relay","Silver"
"3061","David Lekuta Rudisha",2012,"M",23,190,76,"Kenya","KEN","Athletics Men's 800 metres","Gold"
"3062","David Lekuta Rudisha",2016,"M",27,190,76,"Kenya","KEN","Athletics Men's 800 metres","Gold"
"3063","Wilma Glodean Rudolph (-Ward, -Eldridge)",1956,"F",16,180,59,"United States","USA","Athletics Women's 4 x 100 metres Relay","Bronze"
"3064","Wilma Glodean Rudolph (-Ward, -Eldridge)",1960,"F",20,180,59,"United States","USA","Athletics Women's 100 metres","Gold"
"3065","Wilma Glodean Rudolph (-Ward, -Eldridge)",1960,"F",20,180,59,"United States","USA","Athletics Women's 200 metres","Gold"
"3066","Wilma Glodean Rudolph (-Ward, -Eldridge)",1960,"F",20,180,59,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"3067","Olga Aleksandrovna Rukavishnikova",1980,"F",25,175,68,"Soviet Union","URS","Athletics Women's Pentathlon","Silver"
"3068","Galen Rupp",2012,"M",26,181,61,"United States","USA","Athletics Men's 10,000 metres","Silver"
"3069","Galen Rupp",2016,"M",30,181,61,"United States","USA","Athletics Men's Marathon","Bronze"
"3070","Alonzo Russell",2016,"M",24,174,68,"Bahamas","BAH","Athletics Men's 4 x 400 metres Relay","Bronze"
"3071","Arthur Russell",1908,"M",22,170,60,"Great Britain","GBR","Athletics Men's 3,200 metres Steeplechase","Gold"
"3072","Gillian Claire Russell (-Love)",1996,"F",22,169,57,"Jamaica","JAM","Athletics Women's 4 x 100 metres Relay","Bronze"
"3073","Henry Argue ""Hank"" Russell",1928,"M",23,185,77,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"3074","Tadeusz Rut",1960,"M",28,183,90,"Poland","POL","Athletics Men's Hammer Throw","Bronze"
"3075","Frank Garfield Rutherford",1992,"M",27,185,82,"Bahamas","BAH","Athletics Men's Triple Jump","Bronze"
"3076","Gregory James ""Greg"" Rutherford",2012,"M",25,188,92,"Great Britain","GBR","Athletics Men's Long Jump","Gold"
"3077","Gregory James ""Greg"" Rutherford",2016,"M",29,188,92,"Great Britain","GBR","Athletics Men's Long Jump","Bronze"
"3078","Antti Hermanni Ruuskanen",2012,"M",28,189,86,"Finland","FIN","Athletics Men's Javelin Throw","Bronze"
"3079","Yelena Ivanovna Ruzina (Rykunova-)",1992,"F",28,173,58,"Unified Team","EUN","Athletics Women's 4 x 400 metres Relay","Gold"
"3080","Michael ""Mike"" Ryan",1968,"M",26,176,70,"New Zealand","NZL","Athletics Men's Marathon","Bronze"
"3081","Patrick James ""Paddy"" Ryan",1920,"M",39,188,113,"United States","USA","Athletics Men's 56-pound Weight Throw","Silver"
"3082","Patrick James ""Paddy"" Ryan",1920,"M",39,188,113,"United States","USA","Athletics Men's Hammer Throw","Gold"
"3083","Yaroslav Vladimirovich Rybakov",2008,"M",27,198,83,"Russia","RUS","Athletics Men's High Jump","Bronze"
"3084","Markus Ryffel",1984,"M",29,167,55,"Switzerland","SUI","Athletics Men's 5,000 metres","Silver"
"3085","Olga Sergeyevna Rypakova (Alekseyeva-)",2012,"F",27,183,62,"Kazakhstan","KAZ","Athletics Women's Triple Jump","Gold"
"3086","Olga Sergeyevna Rypakova (Alekseyeva-)",2016,"F",31,183,62,"Kazakhstan","KAZ","Athletics Women's Triple Jump","Bronze"
"3087","James Ronald ""Jim"" Ryun",1968,"M",21,188,76,"United States","USA","Athletics Men's 1,500 metres","Silver"
"3088","Semyon Ivanovich Rzhishchin",1960,"M",27,173,64,"Soviet Union","URS","Athletics Men's 3,000 metres Steeplechase","Bronze"
"3089","Juho Julius Saaristo",1912,"M",20,181,81,"Finland","FIN","Athletics Men's Javelin Throw","Silver"
"3090","Juho Julius Saaristo",1912,"M",20,181,81,"Finland","FIN","Athletics Men's Javelin Throw, Both Hands","Gold"
"3091","Nijol Sabait (-Razien)",1972,"F",22,168,56,"Soviet Union","URS","Athletics Women's 800 metres","Silver"
"3092","Jochen Sachse",1972,"M",23,193,112,"East Germany","GDR","Athletics Men's Hammer Throw","Silver"
"3093","Nataliya Ivanovna Sadova (Kaptyukh-)",1996,"F",24,180,95,"Russia","RUS","Athletics Women's Discus Throw","Silver"
"3094","Nataliya Ivanovna Sadova (Kaptyukh-)",2004,"F",32,180,95,"Russia","RUS","Athletics Women's Discus Throw","Gold"
"3095","Assa Djabir Sad-Guerni",2000,"M",23,187,70,"Algeria","ALG","Athletics Men's 800 metres","Bronze"
"3096","Ali Sadi-Sief",2000,"M",22,185,70,"Algeria","ALG","Athletics Men's 5,000 metres","Silver"
"3097","Irving Jahir Saladino Arana",2008,"M",25,183,70,"Panama","PAN","Athletics Men's Long Jump","Gold"
"3098","Olha Valerivna Saladukha (-Kostyuk)",2012,"F",29,176,57,"Ukraine","UKR","Athletics Women's Triple Jump","Bronze"
"3099","Ahmed Salah Houssein",1988,"M",31,180,64,"Djibouti","DJI","Athletics Men's Marathon","Bronze"
"3100","George J. Saling, Jr.",1932,"M",23,190,77,"United States","USA","Athletics Men's 110 metres Hurdles","Gold"
"3101","John Edward Salisbury",1956,"M",22,180,70,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"3102","Ilmari R. Salminen",1936,"M",33,181,66,"Finland","FIN","Athletics Men's 10,000 metres","Gold"
"3103","Gabriele Salviati",1932,"M",22,168,NA,"Italy","ITA","Athletics Men's 4 x 100 metres Relay","Bronze"
"3104","Gulnara Iskanderovna Samitova-Galkina",2008,"F",30,178,54,"Russia","RUS","Athletics Women's 3,000 metres Steeplechase","Gold"
"3105","Tetiana Volodymyrivna Samolenko-Dorovskykh (Khamitova-, -Apaicheva)",1988,"F",27,168,54,"Soviet Union","URS","Athletics Women's 1,500 metres","Bronze"
"3106","Tetiana Volodymyrivna Samolenko-Dorovskykh (Khamitova-, -Apaicheva)",1988,"F",27,168,54,"Soviet Union","URS","Athletics Women's 3,000 metres","Gold"
"3107","Tetiana Volodymyrivna Samolenko-Dorovskykh (Khamitova-, -Apaicheva)",1992,"F",30,168,54,"Unified Team","EUN","Athletics Women's 3,000 metres","Silver"
"3108","Anatoly Vasilyevich Samotsvetov",1956,"M",23,183,107,"Soviet Union","URS","Athletics Men's Hammer Throw","Bronze"
"3109","LeRoy Perry Samse",1904,"M",20,NA,NA,"United States","USA","Athletics Men's Pole Vault","Silver"
"3110","Levan Sanadze",1952,"M",23,174,70,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"3111","Flix Snchez Marcelo",2004,"M",26,178,64,"Dominican Republic","DOM","Athletics Men's 400 metres Hurdles","Gold"
"3112","Flix Snchez Marcelo",2012,"M",34,178,64,"Dominican Republic","DOM","Athletics Men's 400 metres Hurdles","Gold"
"3113","Joel Snchez Guerrero",2000,"M",36,175,53,"Mexico","MEX","Athletics Men's 50 kilometres Walk","Bronze"
"3114","Maria Sander (Domagala-)",1952,"F",27,165,69,"Germany","GER","Athletics Women's 80 metres Hurdles","Bronze"
"3115","Maria Sander (Domagala-)",1952,"F",27,165,69,"Germany","GER","Athletics Women's 4 x 100 metres Relay","Silver"
"3116","Theresa Ione ""Tessa"" Sanderson (-White)",1984,"F",28,168,70,"Great Britain","GBR","Athletics Women's Javelin Throw","Gold"
"3117","Leevan Sands",2008,"M",26,191,82,"Bahamas","BAH","Athletics Men's Triple Jump","Bronze"
"3118","Nils Gottfrid Sandstrm",1920,"M",26,NA,NA,"Sweden","SWE","Athletics Men's 4 x 100 metres Relay","Bronze"
"3119","Viktor Saneyev",1968,"M",23,188,78,"Soviet Union","URS","Athletics Men's Triple Jump","Gold"
"3120","Viktor Saneyev",1972,"M",26,188,78,"Soviet Union","URS","Athletics Men's Triple Jump","Gold"
"3121","Viktor Saneyev",1976,"M",30,188,78,"Soviet Union","URS","Athletics Men's Triple Jump","Gold"
"3122","Viktor Saneyev",1980,"M",34,188,78,"Soviet Union","URS","Athletics Men's Triple Jump","Silver"
"3123","Julius Sang",1972,"M",26,175,69,"Kenya","KEN","Athletics Men's 400 metres","Bronze"
"3124","Julius Sang",1972,"M",26,175,69,"Kenya","KEN","Athletics Men's 4 x 400 metres Relay","Gold"
"3125","Patrick Kiprop Sang",1992,"M",28,180,65,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Silver"
"3126","Daniel Ren Claude Sangouma",1988,"M",23,187,84,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"3127","Lugueln Miguel Santos Aquino",2012,"M",18,173,58,"Dominican Republic","DOM","Athletics Men's 400 metres","Silver"
"3128","Debora Elaine ""Debra"" Sapenter (-Speight, -Christopher)",1976,"F",24,170,52,"United States","USA","Athletics Women's 4 x 400 metres Relay","Silver"
"3129","Ruhi Saralp",1948,"M",23,NA,NA,"Turkey","TUR","Athletics Men's Triple Jump","Bronze"
"3130","Georgios Saridakis",1906,"M",NA,NA,NA,"Greece","GRE","Athletics Men's 3,000 metres Walk","Bronze"
"3131","Jane Kara Saville (-White)",2004,"F",29,164,52,"Australia","AUS","Athletics Women's 20 kilometres Walk","Bronze"
"3132","Vitaly Anatolyevich Savin",1988,"M",22,184,95,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Gold"
"3133","Mariya Sergeyevna Savinova (-Farnosova)",2012,"F",26,172,60,"Russia","RUS","Athletics Women's 800 metres","Gold"
"3134","Nataliya Vyacheslavovna ""Natasha"" Sazanovich",1996,"F",22,178,70,"Belarus","BLR","Athletics Women's Heptathlon","Silver"
"3135","Nataliya Vyacheslavovna ""Natasha"" Sazanovich",2000,"F",27,178,70,"Belarus","BLR","Athletics Women's Heptathlon","Bronze"
