"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"1821","Abel Richard Kiviat",1912,"M",19,172,66,"United States","USA","Athletics Men's 3,000 metres, Team","Gold"
"1822","Hyvin Kiyeng Jepkemoi",2016,"F",24,162,42,"Kenya","KEN","Athletics Women's 3,000 metres Steeplechase","Silver"
"1823","Ulrike Klapezynski-Bruns",1976,"F",22,170,58,"East Germany","GDR","Athletics Women's 1,500 metres","Bronze"
"1824","Joln Kleiber-Kontsek",1968,"F",29,178,84,"Hungary","HUN","Athletics Women's Discus Throw","Bronze"
"1825","Helga Klein (-Erny)",1952,"F",20,164,55,"Germany","GER","Athletics Women's 4 x 100 metres Relay","Silver"
"1826","Nadine Kleinert-Schmitt",2004,"F",28,190,90,"Germany","GER","Athletics Women's Shot Put","Silver"
"1827","Romuald Iosifovich Klim",1964,"M",31,185,103,"Soviet Union","URS","Athletics Men's Hammer Throw","Gold"
"1828","Romuald Iosifovich Klim",1968,"M",35,185,103,"Soviet Union","URS","Athletics Men's Hammer Throw","Silver"
"1829","Inta Kimovia (-Drvia)",1976,"F",24,168,62,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay","Bronze"
"1830","John Julius Klintberg",1912,"M",27,174,63,"Sweden","SWE","Athletics Men's Cross-Country, Team","Gold"
"1831","Karlheinz Klotz",1972,"M",22,187,75,"West Germany","FRG","Athletics Men's 4 x 100 metres Relay","Bronze"
"1832","Carolina Evelyn Klft",2004,"F",21,178,65,"Sweden","SWE","Athletics Women's Heptathlon","Gold"
"1833","Aleksander Klumberg (-Kolmpere)",1924,"M",25,174,74,"Estonia","EST","Athletics Men's Decathlon","Bronze"
"1834","Sergey Petrovich Klyugin",2000,"M",26,192,82,"Russia","RUS","Athletics Men's High Jump","Gold"
"1835","Ewa Kobukowska",1964,"F",18,170,60,"Poland","POL","Athletics Women's 100 metres","Bronze"
"1836","Ewa Kobukowska",1964,"F",18,170,60,"Poland","POL","Athletics Women's 4 x 100 metres Relay","Gold"
"1837","Ursula Knab (-Schlicksupp)",1952,"F",22,167,58,"Germany","GER","Athletics Women's 4 x 100 metres Relay","Silver"
"1838","Andreas Knebel",1980,"M",20,178,71,"East Germany","GDR","Athletics Men's 4 x 400 metres Relay","Silver"
"1839","Bianca Knight",2012,"F",23,160,63,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"1840","Lothar Knrzer",1956,"M",23,166,58,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Bronze"
"1841","Beate Koch",1988,"F",21,181,75,"East Germany","GDR","Athletics Women's Javelin Throw","Bronze"
"1842","Desmond Dalworth ""Des"" Koch",1956,"M",24,183,95,"United States","USA","Athletics Men's Discus Throw","Bronze"
"1843","Marita Koch (-Meier)",1980,"F",23,171,62,"East Germany","GDR","Athletics Women's 400 metres","Gold"
"1844","Marita Koch (-Meier)",1980,"F",23,171,62,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Silver"
"1845","Mric ""Mr"" Kczn",1912,"M",27,185,NA,"Hungary","HUN","Athletics Men's Javelin Throw","Bronze"
"1846","Paul Kipsiele Koech",2004,"M",22,170,60,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Bronze"
"1847","Peter Koech",1988,"M",30,180,67,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Silver"
"1848","Benjamin Kipkurgat Arap Kogo",1968,"M",NA,175,64,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Silver"
"1849","Micah Kemboi Kogo",2008,"M",22,170,60,"Kenya","KEN","Athletics Men's 10,000 metres","Bronze"
"1850","Gisela Khler-Birkemeyer",1956,"F",24,162,60,"Germany","GER","Athletics Women's 80 metres Hurdles","Silver"
"1851","Gisela Khler-Birkemeyer",1960,"F",28,162,60,"Germany","GER","Athletics Women's 80 metres Hurdles","Bronze"
"1852","Manfred Kokot",1976,"M",28,176,80,"East Germany","GDR","Athletics Men's 4 x 100 metres Relay","Silver"
"1853","Sara Kolak",2016,"F",21,170,74,"Croatia","CRO","Athletics Women's Javelin Throw","Gold"
"1854","Johan Pietari ""Hannes"" Kolehmainen",1912,"M",22,168,57.5,"Finland","FIN","Athletics Men's 5,000 metres","Gold"
"1855","Johan Pietari ""Hannes"" Kolehmainen",1912,"M",22,168,57.5,"Finland","FIN","Athletics Men's 10,000 metres","Gold"
"1856","Johan Pietari ""Hannes"" Kolehmainen",1912,"M",22,168,57.5,"Finland","FIN","Athletics Men's Cross-Country, Individual","Gold"
"1857","Johan Pietari ""Hannes"" Kolehmainen",1912,"M",22,168,57.5,"Finland","FIN","Athletics Men's Cross-Country, Team","Silver"
"1858","Johan Pietari ""Hannes"" Kolehmainen",1920,"M",30,168,57.5,"Finland","FIN","Athletics Men's Marathon","Gold"
"1859","Nikolay Vasilyevich Kolesnikov",1976,"M",22,175,74,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Bronze"
"1860","Nadezhda Leonidovna Kolesnikova-Ilyina",1976,"F",27,175,61,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay","Bronze"
"1861","Yevgeniya Nikolayevna Kolodko",2012,"F",22,182,92,"Russia","RUS","Athletics Women's Shot Put","Silver"
"1862","Tatyana Alekseyevna Kolpakova (-Abbyasova)",1980,"F",20,169,60,"Soviet Union","URS","Athletics Women's Long Jump","Gold"
"1863","Wadysaw Komar",1972,"M",32,196,125,"Poland","POL","Athletics Men's Shot Put","Gold"
"1864","Vera Yakovlevna Komisova (Nikitina-)",1980,"F",27,169,60,"Soviet Union","URS","Athletics Women's 100 metres Hurdles","Gold"
"1865","Vera Yakovlevna Komisova (Nikitina-)",1980,"F",27,169,60,"Soviet Union","URS","Athletics Women's 4 x 100 metres Relay","Silver"
"1866","Lyudmila Andreyevna Kondratyeva (-Sedykh)",1980,"F",22,168,57,"Soviet Union","URS","Athletics Women's 100 metres","Gold"
"1867","Lyudmila Andreyevna Kondratyeva (-Sedykh)",1988,"F",30,168,57,"Soviet Union","URS","Athletics Women's 4 x 100 metres Relay","Bronze"
"1868","Pauline Konga",1996,"F",26,158,43,"Kenya","KEN","Athletics Women's 5,000 metres","Silver"
"1869","Halina (Leonarda Kazimiera-) Konopacka (-Matuszewska, -Szczerbiska, -Stowe)",1928,"F",28,180,65,"Poland","POL","Athletics Women's Discus Throw","Gold"
"1870","Yury Semyonovich Konovalov",1956,"M",26,183,77,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"1871","Yury Semyonovich Konovalov",1960,"M",30,183,77,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"1872","Nadezhda Yefimovna Konyayeva (-Samoylova)",1956,"F",25,167,58,"Soviet Union","URS","Athletics Women's Javelin Throw","Bronze"
"1873","Julius Korir",1984,"M",24,172,64,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Gold"
"1874","Seppo Tapio Aleksanteri Korjus",1988,"M",27,196,102.5,"Finland","FIN","Athletics Men's Javelin Throw","Gold"
"1875","Aleksandr Olegovich Kornelyuk",1972,"M",22,165,64,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"1876","Helmut Krnig",1928,"M",22,175,66,"Germany","GER","Athletics Men's 200 metres","Bronze"
"1877","Helmut Krnig",1928,"M",22,175,66,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Silver"
"1878","Helmut Krnig",1932,"M",26,175,66,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Silver"
"1879","Robert Marek Korzeniowski",1996,"M",27,168,60,"Poland","POL","Athletics Men's 50 kilometres Walk","Gold"
"1880","Robert Marek Korzeniowski",2000,"M",32,168,60,"Poland","POL","Athletics Men's 20 kilometres Walk","Gold"
"1881","Robert Marek Korzeniowski",2000,"M",32,168,60,"Poland","POL","Athletics Men's 50 kilometres Walk","Gold"
"1882","Robert Marek Korzeniowski",2004,"M",36,168,60,"Poland","POL","Athletics Men's 50 kilometres Walk","Gold"
"1883","Gusman Sittykovich Kosanov",1960,"M",25,175,68,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Silver"
"1884","Reuben Seroney Kosgei",2000,"M",21,170,55,"Kenya","KEN","Athletics Men's 3,000 metres Steeplechase","Gold"
"1885","Fredrik Teodor Koskenniemi",1920,"M",32,172,63,"Finland","FIN","Athletics Men's Cross-Country, Team","Gold"
"1886","Stefka Georgieva Kostadinova (-Petrova, -Popovasileva)",1988,"F",23,180,60,"Bulgaria","BUL","Athletics Women's High Jump","Silver"
"1887","Stefka Georgieva Kostadinova (-Petrova, -Popovasileva)",1996,"F",31,180,60,"Bulgaria","BUL","Athletics Women's High Jump","Gold"
"1888","Olga Ivanovna Kotlyarova",2000,"F",24,180,66,"Russia","RUS","Athletics Women's 4 x 400 metres Relay","Bronze"
"1889","Tatyana Vladimirovna Kotova",2000,"F",23,182,59,"Russia","RUS","Athletics Women's Long Jump","Bronze"
"1890","Tatyana Vladimirovna Kotova",2004,"F",27,182,59,"Russia","RUS","Athletics Women's Long Jump","Bronze"
"1891","Joseph Mathias ""Joe"" Kovacs",2016,"M",27,183,134,"United States","USA","Athletics Men's Shot Put","Silver"
"1892","Jzsef Kovcs",1956,"M",30,163,50,"Hungary","HUN","Athletics Men's 10,000 metres","Silver"
"1893","Annamria Kovcs-Tth",1968,"F",23,164,58,"Hungary","HUN","Athletics Women's Pentathlon","Bronze"
"1894","Zoltn Kvg",2004,"M",25,204,132,"Hungary","HUN","Athletics Men's Discus Throw","Silver"
"1895","Aleksandr Yuryevich Kovalenko",1988,"M",25,178,80,"Soviet Union","URS","Athletics Men's Triple Jump","Bronze"
"1896","Ainrs Kovals",2008,"M",26,192,110,"Latvia","LAT","Athletics Men's Javelin Throw","Silver"
"1897","Wadysaw Kozakiewicz",1980,"M",26,187,82,"Poland","POL","Athletics Men's Pole Vault","Gold"
"1898","Primo Kozmus",2008,"M",28,188,112,"Slovenia","SLO","Athletics Men's Hammer Throw","Gold"
"1899","Primo Kozmus",2012,"M",32,188,112,"Slovenia","SLO","Athletics Men's Hammer Throw","Silver"
"1900","Valentyna Vasylivna Kozyr (-Avilova)",1968,"F",18,170,68,"Soviet Union","URS","Athletics Women's High Jump","Bronze"
"1901","Alvin Christian ""Al"" Kraenzlein",1900,"M",23,183,75,"United States","USA","Athletics Men's 60 metres","Gold"
"1902","Alvin Christian ""Al"" Kraenzlein",1900,"M",23,183,75,"United States","USA","Athletics Men's 110 metres Hurdles","Gold"
"1903","Alvin Christian ""Al"" Kraenzlein",1900,"M",23,183,75,"United States","USA","Athletics Men's 200 metres Hurdles","Gold"
"1904","Alvin Christian ""Al"" Kraenzlein",1900,"M",23,183,75,"United States","USA","Athletics Men's Long Jump","Gold"
"1905","Olesya Aleksandrovna Krasnomovets (-Forsheva)",2004,"F",25,171,60,"Russia","RUS","Athletics Women's 4 x 400 metres Relay","Silver"
"1906","Jarmila Kratochvlov",1980,"F",29,171,68,"Czechoslovakia","TCH","Athletics Women's 400 metres","Silver"
"1907","Guido Kratschmer",1976,"M",23,186,94,"West Germany","FRG","Athletics Men's Decathlon","Silver"
"1908","Katharina Anna ""Kthe"" Krau",1936,"F",29,176,72,"Germany","GER","Athletics Women's 100 metres","Bronze"
"1909","Christiane Krause (-Stallasch, -Todd)",1972,"F",21,164,54,"West Germany","FRG","Athletics Women's 4 x 100 metres Relay","Gold"
"1910","Andrey Sergeyevich Kravchenko",2008,"M",22,191,83,"Belarus","BLR","Athletics Men's Decathlon","Silver"
"1911","Viktor Petrovich Kravchenko",1964,"M",23,172,65,"Soviet Union","URS","Athletics Men's Triple Jump","Bronze"
"1912","Inesa Mykolavna Kravets (Shuliak-, -Izvachuk)",1992,"F",25,178,60,"Unified Team","EUN","Athletics Women's Long Jump","Silver"
"1913","Inesa Mykolavna Kravets (Shuliak-, -Izvachuk)",1996,"F",29,178,60,"Ukraine","UKR","Athletics Women's Triple Jump","Gold"
"1914","Richard Krebs",1928,"M",21,NA,NA,"Germany","GER","Athletics Men's 4 x 400 metres Relay","Silver"
"1915","Vitold Anatolyevich Kreyer",1956,"M",24,180,70,"Soviet Union","URS","Athletics Men's Triple Jump","Bronze"
"1916","Vitold Anatolyevich Kreyer",1960,"M",27,180,70,"Soviet Union","URS","Athletics Men's Triple Jump","Bronze"
"1917","Lothar Michael Krieg",1976,"M",20,180,73,"West Germany","FRG","Athletics Men's 4 x 400 metres Relay","Bronze"
"1918","Svetlana Vladimirovna Krivelyova",1992,"F",23,184,94,"Unified Team","EUN","Athletics Women's Shot Put","Gold"
"1919","Mikhail Petrovich Krivonosov",1956,"M",27,189,90,"Soviet Union","URS","Athletics Men's Hammer Throw","Silver"
"1920","Antonina Vladimirovna Krivoshapka",2012,"F",25,168,59,"Russia","RUS","Athletics Women's 4 x 400 metres Relay","Silver"
"1921","Annegret ""Anne"" Kroniger (-Boller-, -Wolf)",1976,"F",23,171,60,"West Germany","FRG","Athletics Women's 4 x 100 metres Relay","Silver"
"1922","Barbara Krug",1980,"F",24,174,65,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Silver"
"1923","Frantz Kruger",2000,"M",25,203,130,"South Africa","RSA","Athletics Men's Discus Throw","Bronze"
"1924","Luise Martha ""Lies"" Krger",1936,"F",21,166,54,"Germany","GER","Athletics Women's Javelin Throw","Silver"
"1925","Walter Krger",1960,"M",30,190,93,"Germany","GER","Athletics Men's Javelin Throw","Silver"
"1926","Larisa Nikolayevna Kruglova",2004,"F",31,166,63,"Russia","RUS","Athletics Women's 4 x 100 metres Relay","Silver"
"1927","Oleksandr Volodymyrovych Krykun",1996,"M",30,194,125,"Ukraine","UKR","Athletics Men's Hammer Throw","Bronze"
"1928","Vladimir Valentinovich Krylov",1988,"M",24,184,73,"Soviet Union","URS","Athletics Men's 4 x 100 metres Relay","Gold"
"1929","Elbieta Maria Krzesiska-Duska",1956,"F",22,170,62,"Poland","POL","Athletics Women's Long Jump","Gold"
"1930","Elbieta Maria Krzesiska-Duska",1960,"F",25,170,62,"Poland","POL","Athletics Women's Long Jump","Silver"
"1931","Zdzisaw Ludwik Krzyszkowiak",1960,"M",31,172,59,"Poland","POL","Athletics Men's 3,000 metres Steeplechase","Gold"
"1932","John Henry ""Johnny"" Kuck",1928,"M",23,190,102,"United States","USA","Athletics Men's Shot Put","Gold"
"1933","Bodo Johannes Kuhn",1988,"M",21,183,73,"West Germany","FRG","Athletics Men's 4 x 400 metres Relay","Bronze"
"1934","Rita Khne (-Andrich, -Schiemann)",1972,"F",25,176,65,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Gold"
"1935","Dainis Kla",1980,"M",21,190,98,"Soviet Union","URS","Athletics Men's Javelin Throw","Gold"
"1936","Gergely Kulcsr",1960,"M",26,184,82,"Hungary","HUN","Athletics Men's Javelin Throw","Bronze"
"1937","Gergely Kulcsr",1964,"M",30,184,82,"Hungary","HUN","Athletics Men's Javelin Throw","Silver"
"1938","Gergely Kulcsr",1968,"M",34,184,82,"Hungary","HUN","Athletics Men's Javelin Throw","Bronze"
"1939","Astrid Kumbernuss",1996,"F",26,186,89,"Germany","GER","Athletics Women's Shot Put","Gold"
"1940","Astrid Kumbernuss",2000,"F",30,186,89,"Germany","GER","Athletics Women's Shot Put","Bronze"
"1941","Hansjrg Kunze",1988,"M",28,179,63,"East Germany","GDR","Athletics Men's 5,000 metres","Bronze"
"1942","Olga Vitalyevna Kuragina (Nemogayeva-)",1980,"F",21,170,57,"Soviet Union","URS","Athletics Women's Pentathlon","Bronze"
"1943","Klaus-Dieter Kurrat",1976,"M",21,170,72,"East Germany","GDR","Athletics Men's 4 x 100 metres Relay","Silver"
"1944","Janusz Tadeusz Kusociski",1932,"M",25,167,72,"Poland","POL","Athletics Men's 10,000 metres","Gold"
"1945","Volodymyr Petrovych Kuts",1956,"M",29,172,72,"Soviet Union","URS","Athletics Men's 5,000 metres","Gold"
"1946","Volodymyr Petrovych Kuts",1956,"M",29,172,72,"Soviet Union","URS","Athletics Men's 10,000 metres","Gold"
"1947","Yury Mikhaylovich Kutsenko",1980,"M",28,190,93,"Soviet Union","URS","Athletics Men's Decathlon","Silver"
"1948","Olga Sergeyevna Kuzenkova",2000,"F",29,176,75,"Russia","RUS","Athletics Women's Hammer Throw","Silver"
"1949","Olga Sergeyevna Kuzenkova",2004,"F",33,176,75,"Russia","RUS","Athletics Women's Hammer Throw","Gold"
"1950","Vasily Dmitriyevich Kuznetsov",1956,"M",24,185,83,"Soviet Union","URS","Athletics Men's Decathlon","Bronze"
"1951","Vasily Dmitriyevich Kuznetsov",1960,"M",28,185,83,"Soviet Union","URS","Athletics Men's Decathlon","Bronze"
"1952","Maria Jadwiga Kwaniewska (-Trytko, -Komiska, -Maleszewska)",1936,"F",22,165,56,"Poland","POL","Athletics Women's Javelin Throw","Bronze"
"1953","Erik Kynard, Jr.",2012,"M",21,194,89,"United States","USA","Athletics Men's High Jump","Silver"
"1954","Wilhelm ""Ville"" Kyrnen",1912,"M",21,165,55,"Finland","FIN","Athletics Men's Cross-Country, Team","Silver"
"1955","Volodymyr Viktorovych Kyselov",1980,"M",23,185,125,"Soviet Union","URS","Athletics Men's Shot Put","Gold"
"1956","Lloyd Barrington LaBeach",1948,"M",26,185,73,"Panama","PAN","Athletics Men's 100 metres","Bronze"
"1957","Lloyd Barrington LaBeach",1948,"M",26,185,73,"Panama","PAN","Athletics Men's 200 metres","Bronze"
"1958","Henri Jean LaBorde",1932,"M",22,183,95,"United States","USA","Athletics Men's Discus Throw","Silver"
"1959","Du'aine Ladejo (Thorne-)",1992,"M",21,187,84,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"1960","Du'aine Ladejo (Thorne-)",1996,"M",25,187,84,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Silver"
"1961","Jules Ladoumgue",1928,"M",21,171,59,"France","FRA","Athletics Men's 1,500 metres","Silver"
"1962","Bernard Kipchirchir Lagat",2000,"M",25,173,58,"Kenya","KEN","Athletics Men's 1,500 metres","Bronze"
"1963","Bernard Kipchirchir Lagat",2004,"M",29,173,58,"Kenya","KEN","Athletics Men's 1,500 metres","Silver"
"1964","Brahim Lahlafi",2000,"M",32,172,62,"Morocco","MAR","Athletics Men's 5,000 metres","Bronze"
"1965","Hugo Jalmari Lahtinen",1920,"M",28,182,78,"Finland","FIN","Athletics Men's Pentathlon","Bronze"
"1966","Bernard Laidebeur",1964,"M",22,180,75,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"1967","Leslie Alphonso ""Les"" Laing",1952,"M",27,164,55,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Gold"
"1968","Alessandro Lambruschini",1996,"M",31,178,63,"Italy","ITA","Athletics Men's 3,000 metres Steeplechase","Bronze"
"1969","Jol Lamela Luaces",1992,"M",21,172,70,"Cuba","CUB","Athletics Men's 4 x 100 metres Relay","Bronze"
"1970","Georg Lammers",1928,"M",23,178,84,"Germany","GER","Athletics Men's 100 metres","Bronze"
"1971","Georg Lammers",1928,"M",23,178,84,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Silver"
"1972","Jennifer Frances Lamy (-Frank)",1968,"F",19,173,60,"Australia","AUS","Athletics Women's 200 metres","Bronze"
"1973","Richmond Wilcox ""Dick"" Landon",1920,"M",21,188,73,"United States","USA","Athletics Men's High Jump","Gold"
"1974","Eelis Eenok ""Eeles"" Landstrm",1960,"M",28,185,81,"Finland","FIN","Athletics Men's Pole Vault","Bronze"
"1975","John Michael Landy",1956,"M",26,182,69,"Australia","AUS","Athletics Men's 1,500 metres","Bronze"
"1976","Francis Adonijah ""Frank"" Lane",1896,"M",21,170,69,"United States","USA","Athletics Men's 100 metres","Bronze"
"1977","Nancy Jebet Langat",2008,"F",26,153,49,"Kenya","KEN","Athletics Women's 1,500 metres","Gold"
"1978","Martha Langbein-Pensberger (-Schreiber)",1960,"F",19,160,56,"Germany","GER","Athletics Women's 4 x 100 metres Relay","Silver"
"1979","Marita Lange",1968,"F",25,182,85,"East Germany","GDR","Athletics Women's Shot Put","Silver"
"1980","Lucyna Langer (-Kaek)",1980,"F",24,167,55,"Poland","POL","Athletics Women's 100 metres Hurdles","Bronze"
"1981","Sonia May Lannaman (-Garmston)",1980,"F",24,165,57,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Bronze"
"1982","Mario Lanzi",1936,"M",21,180,76,"Italy","ITA","Athletics Men's 800 metres","Silver"
"1983","Igor Olegovich Lapshin",1988,"M",25,189,74,"Soviet Union","URS","Athletics Men's Triple Jump","Silver"
"1984","George Edward Larner",1908,"M",33,175,67,"Great Britain","GBR","Athletics Men's 3,500 metres Walk","Gold"
"1985","George Edward Larner",1908,"M",33,175,67,"Great Britain","GBR","Athletics Men's 10 mile Walk","Gold"
"1986","Michael Denny ""Mike"" Larrabee",1964,"M",30,186,77,"United States","USA","Athletics Men's 400 metres","Gold"
"1987","Michael Denny ""Mike"" Larrabee",1964,"M",30,186,77,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"1988","Leo Edward Larrivee",1924,"M",20,173,59,"United States","USA","Athletics Men's 3,000 metres, Team","Bronze"
"1989","Martin Edvard Larsen",1908,"M",26,176,68,"Norway","NOR","Athletics Men's Triple Jump","Bronze"
"1990","Ernst Willy Larsen",1956,"M",30,183,65,"Norway","NOR","Athletics Men's 3,000 metres Steeplechase","Bronze"
"1991","Erik Brynolf Larsson",1912,"M",26,176,63,"Sweden","SWE","Athletics Men's Cross-Country, Team","Gold"
"1992","Carl Rune Larsson",1948,"M",24,178,70,"Sweden","SWE","Athletics Men's 400 metres Hurdles","Bronze"
"1993","Carl Rune Larsson",1948,"M",24,178,70,"Sweden","SWE","Athletics Men's 4 x 400 metres Relay","Bronze"
"1994","Harry Edvin ""Harri"" Larva (Lagerstrm-)",1928,"M",21,180,68,"Finland","FIN","Athletics Men's 1,500 metres","Gold"
"1995","Yelena Anatolyevna Lashmanova",2012,"F",20,170,48,"Russia","RUS","Athletics Women's 20 kilometres Walk","Gold"
"1996","Inna Aleksandrovna Lasovskaya",1996,"F",26,178,68,"Russia","RUS","Athletics Women's Triple Jump","Silver"
"1997","Karl-Martin ""Martin"" Lauer",1960,"M",23,186,76,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Gold"
"1998","Hildrun Laufer-Claus",1960,"F",21,172,66,"Germany","GER","Athletics Women's Long Jump","Bronze"
"1999","Andr Lauseig",1924,"M",24,181,70,"France","FRA","Athletics Men's Cross-Country, Team","Bronze"
"2000","David Lester ""Dave"" Laut",1984,"M",27,193,114,"United States","USA","Athletics Men's Shot Put","Bronze"
"2001","Henri Lauvaux",1924,"M",23,NA,NA,"France","FRA","Athletics Men's Cross-Country, Team","Bronze"
"2002","Renaud Lavillenie",2012,"M",25,177,71,"France","FRA","Athletics Men's Pole Vault","Gold"
"2003","Renaud Lavillenie",2016,"M",29,177,71,"France","FRA","Athletics Men's Pole Vault","Silver"
"2004","Albert Lawrence",1984,"M",23,175,76,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Silver"
"2005","Allan Cleave Evan Lawrence",1956,"M",26,171,61,"Australia","AUS","Athletics Men's 10,000 metres","Bronze"
"2006","Tayna Lawrence",2000,"F",24,163,61,"Jamaica","JAM","Athletics Women's 100 metres","Silver"
"2007","Tayna Lawrence",2000,"F",24,163,61,"Jamaica","JAM","Athletics Women's 4 x 100 metres Relay","Silver"
"2008","Tayna Lawrence",2004,"F",28,163,61,"Jamaica","JAM","Athletics Women's 4 x 100 metres Relay","Gold"
"2009","Donald Robert ""Don"" Laz",1952,"M",23,188,82,"United States","USA","Athletics Men's Pole Vault","Silver"
"2010","Cornelius ""Con"" Leahy",1906,"M",29,NA,NA,"Great Britain","GBR","Athletics Men's High Jump","Gold"
"2011","Cornelius ""Con"" Leahy",1906,"M",29,NA,NA,"Great Britain","GBR","Athletics Men's Triple Jump","Silver"
"2012","Cornelius ""Con"" Leahy",1908,"M",32,NA,NA,"Great Britain","GBR","Athletics Men's High Jump","Silver"
"2013","Patrick Joseph ""Pat"" Leahy",1900,"M",22,NA,NA,"Great Britain","GBR","Athletics Men's High Jump","Silver"
"2014","Patrick Joseph ""Pat"" Leahy",1900,"M",22,NA,NA,"Great Britain","GBR","Athletics Men's Long Jump","Bronze"
"2015","David Francis Lean",1956,"M",21,182,65,"Australia","AUS","Athletics Men's 4 x 400 metres Relay","Silver"
"2016","Lillie Mae Leatherwood (-King)",1984,"F",20,168,56,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"2017","Lillie Mae Leatherwood (-King)",1988,"F",24,168,56,"United States","USA","Athletics Women's 4 x 400 metres Relay","Silver"
"2018","Robert Grandison ""Bob"" Leavitt",1906,"M",22,180,73,"United States","USA","Athletics Men's 110 metres Hurdles","Gold"
"2019","Nataliya Vasilyevna Lebedeva (-Suprun, -Monastyrskaya)",1976,"F",26,171,62,"Soviet Union","URS","Athletics Women's 100 metres Hurdles","Bronze"
"2020","Tatyana Romanovna Lebedeva",2000,"F",24,170,61,"Russia","RUS","Athletics Women's Triple Jump","Silver"
"2021","Tatyana Romanovna Lebedeva",2004,"F",28,170,61,"Russia","RUS","Athletics Women's Long Jump","Gold"
"2022","Tatyana Romanovna Lebedeva",2004,"F",28,170,61,"Russia","RUS","Athletics Women's Triple Jump","Bronze"
"2023","Tatyana Romanovna Lebedeva",2008,"F",32,170,61,"Russia","RUS","Athletics Women's Long Jump","Silver"
"2024","Tatyana Romanovna Lebedeva",2008,"F",32,170,61,"Russia","RUS","Athletics Women's Triple Jump","Silver"
"2025","Guillaume LeBlanc",1992,"M",30,183,74,"Canada","CAN","Athletics Men's 20 kilometres Walk","Silver"
"2026","Jeremiah Alfred ""Al"" LeConey",1924,"M",23,180,72,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"2027","Tatyana Mikhaylovna Ledovskaya",1988,"F",22,171,60,"Soviet Union","URS","Athletics Women's 400 metres Hurdles","Silver"
"2028","Tatyana Mikhaylovna Ledovskaya",1988,"F",22,171,60,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay","Gold"
"2029","Lee Bong-Ju",1996,"M",27,167,56,"South Korea","KOR","Athletics Men's Marathon","Silver"
"2030","Robert Lucien Pierre ""Bob"" LeGendre",1924,"M",26,190,88,"United States","USA","Athletics Men's Pentathlon","Bronze"
"2031","Klaus Lehnertz",1964,"M",26,183,75,"Germany","GER","Athletics Men's Pole Vault","Bronze"
"2032","Lauri Aleksanteri Lehtinen",1932,"M",23,174,64,"Finland","FIN","Athletics Men's 5,000 metres","Gold"
"2033","Lauri Aleksanteri Lehtinen",1936,"M",27,174,64,"Finland","FIN","Athletics Men's 5,000 metres","Silver"
"2034","Eero Reino Lehtonen",1920,"M",22,184,78,"Finland","FIN","Athletics Men's Pentathlon","Gold"
"2035","Eero Reino Lehtonen",1924,"M",26,184,78,"Finland","FIN","Athletics Men's Pentathlon","Gold"
"2036","Gnter Wilhelm Leichum",1936,"M",25,174,70,"Germany","GER","Athletics Men's 4 x 100 metres Relay","Bronze"
"2037","Nicole Leistenschneider (-Mikisch)",1984,"F",17,175,55,"West Germany","FRG","Athletics Women's 4 x 400 metres Relay","Bronze"
"2038","Antnio Carlos Carvalho Nogueira Leito",1984,"M",24,176,68,"Portugal","POR","Athletics Men's 5,000 metres","Bronze"
"2039","Charles Louis Lelong",1912,"M",21,NA,NA,"France","FRA","Athletics Men's 4 x 400 metres Relay","Silver"
"2040","Christophe Alexandre Christian Lematre",2012,"M",22,190,74,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"2041","Christophe Alexandre Christian Lematre",2016,"M",26,190,74,"France","FRA","Athletics Men's 200 metres","Bronze"
