"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"1135","Chryste Dionne Gaines",2000,"F",29,170,57,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"1136","Jean Galfione",1996,"M",25,184,82,"France","FRA","Athletics Men's Pole Vault"
"1137","Kimberly Ann ""Kim"" Gallagher",1984,"F",20,165,47,"United States","USA","Athletics Women's 800 metres"
"1138","Kimberly Ann ""Kim"" Gallagher",1988,"F",24,165,47,"United States","USA","Athletics Women's 800 metres"
"1139","Mohamad Tlili ben Abdallah Gammoudi",1964,"M",26,172,60,"Tunisia","TUN","Athletics Men's 10,000 metres"
"1140","Mohamad Tlili ben Abdallah Gammoudi",1968,"M",30,172,60,"Tunisia","TUN","Athletics Men's 5,000 metres"
"1141","Mohamad Tlili ben Abdallah Gammoudi",1968,"M",30,172,60,"Tunisia","TUN","Athletics Men's 10,000 metres"
"1142","Mohamad Tlili ben Abdallah Gammoudi",1972,"M",34,172,60,"Tunisia","TUN","Athletics Men's 5,000 metres"
"1143","Diana Gansky (Sachse-)",1988,"F",24,184,92,"East Germany","GDR","Athletics Women's Discus Throw"
"1144","Anier Octavio Garca Ortz",2000,"M",24,189,79,"Cuba","CUB","Athletics Men's 110 metres Hurdles"
"1145","Anier Octavio Garca Ortz",2004,"M",28,189,79,"Cuba","CUB","Athletics Men's 110 metres Hurdles"
"1146","Ivn Garca Snchez",2000,"M",28,182,75,"Cuba","CUB","Athletics Men's 4 x 100 metres Relay"
"1147","Javier Garca Chico",1992,"M",26,177,71,"Spain","ESP","Athletics Men's Pole Vault"
"1148","Yoel Garca Luis",2000,"M",26,181,83,"Cuba","CUB","Athletics Men's Triple Jump"
"1149","Jason John Gardener",2004,"M",28,176,75,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay"
"1150","Sven Anders Grderud",1976,"M",29,186,70,"Sweden","SWE","Athletics Men's 3,000 metres Steeplechase"
"1151","Steven Gardiner",2016,"M",20,193,94,"Bahamas","BAH","Athletics Men's 4 x 400 metres Relay"
"1152","English Gardner",2016,"F",24,168,55,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"1153","Keith Alvin Saint Hope Gardner",1960,"M",30,175,64,"West Indies Federation","WIF","Athletics Men's 4 x 400 metres Relay"
"1154","Maureen Angela Jane Gardner (-Dyson)",1948,"F",19,172,59,"Great Britain","GBR","Athletics Women's 80 metres Hurdles"
"1155","France Gareau (-Foudy)",1984,"F",17,167,59,"Canada","CAN","Athletics Women's 4 x 100 metres Relay"
"1156","John Carlyle ""Johnny"" Garrels",1908,"M",22,185,89,"United States","USA","Athletics Men's 110 metres Hurdles"
"1157","John Carlyle ""Johnny"" Garrels",1908,"M",22,185,89,"United States","USA","Athletics Men's Shot Put"
"1158","Robert ""Bob"" Garrett",1896,"M",20,188,81,"United States","USA","Athletics Men's High Jump"
"1159","Robert ""Bob"" Garrett",1896,"M",20,188,81,"United States","USA","Athletics Men's Long Jump"
"1160","Robert ""Bob"" Garrett",1896,"M",20,188,81,"United States","USA","Athletics Men's Shot Put"
"1161","Robert ""Bob"" Garrett",1896,"M",20,188,81,"United States","USA","Athletics Men's Discus Throw"
"1162","Robert ""Bob"" Garrett",1900,"M",24,188,81,"United States","USA","Athletics Men's Standing Triple Jump"
"1163","Robert ""Bob"" Garrett",1900,"M",24,188,81,"United States","USA","Athletics Men's Shot Put"
"1164","Rodion Aksanovich Gataullin",1988,"M",22,189,83,"Soviet Union","URS","Athletics Men's Pole Vault"
"1165","James F. ""Jimmy"" Gathers",1952,"M",22,181,69,"United States","USA","Athletics Men's 200 metres"
"1166","Justin Alexander Gatlin",2004,"M",22,186,80,"United States","USA","Athletics Men's 100 metres"
"1167","Justin Alexander Gatlin",2004,"M",22,186,80,"United States","USA","Athletics Men's 200 metres"
"1168","Justin Alexander Gatlin",2004,"M",22,186,80,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1169","Justin Alexander Gatlin",2012,"M",30,186,80,"United States","USA","Athletics Men's 100 metres"
"1170","Justin Alexander Gatlin",2016,"M",34,186,80,"United States","USA","Athletics Men's 100 metres"
"1171","Hartwig Gauder",1980,"M",25,186,70,"East Germany","GDR","Athletics Men's 50 kilometres Walk"
"1172","Hartwig Gauder",1988,"M",33,186,70,"East Germany","GDR","Athletics Men's 50 kilometres Walk"
"1173","Heide-Elke Gaugel (-Hudak)",1984,"F",25,167,54,"West Germany","FRG","Athletics Women's 4 x 400 metres Relay"
"1174","Yevgeny Mikhaylovich Gavrilenko",1976,"M",25,187,76,"Soviet Union","URS","Athletics Men's 400 metres Hurdles"
"1175","Valentin Aleksandrovich Gavrilov",1968,"M",22,191,75,"Soviet Union","URS","Athletics Men's High Jump"
"1176","Dejen Gebremeskel",2012,"M",22,180,58,"Ethiopia","ETH","Athletics Men's 5,000 metres"
"1177","Hagos Gebrhiwet Berhe",2016,"M",22,171,56,"Ethiopia","ETH","Athletics Men's 5,000 metres"
"1178","Haile Gebrselassie",1996,"M",23,165,56,"Ethiopia","ETH","Athletics Men's 10,000 metres"
"1179","Haile Gebrselassie",2000,"M",27,165,56,"Ethiopia","ETH","Athletics Men's 10,000 metres"
"1180","Hans-Gnter Geister",1952,"M",23,177,73,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"1181","Erba Tiki Gelana",2012,"F",24,165,48,"Ethiopia","ETH","Athletics Women's Marathon"
"1182","Paul Louis Marcel Genevay",1964,"M",25,174,74,"France","FRA","Athletics Men's 4 x 100 metres Relay"
"1183","Giuseppe Gentile",1968,"M",25,190,83,"Italy","ITA","Athletics Men's Triple Jump"
"1184","Inga Kristina Gentzel (-Dahlgren)",1928,"F",20,NA,NA,"Sweden","SWE","Athletics Women's 800 metres"
"1185","Nikolaos P. Georgantas",1904,"M",24,185,81,"Greece","GRE","Athletics Men's Discus Throw"
"1186","Nikolaos P. Georgantas",1906,"M",26,185,81,"Greece","GRE","Athletics Men's Stone Throw"
"1187","Nikolaos P. Georgantas",1906,"M",26,185,81,"Greece","GRE","Athletics Men's Discus Throw"
"1188","Nikolaos P. Georgantas",1906,"M",26,185,81,"Greece","GRE","Athletics Men's Discus Throw, Greek Style"
"1189","Manfred Germar",1956,"M",21,182,74,"Germany","GER","Athletics Men's 4 x 100 metres Relay"
"1190","Kim Gevaert",2008,"F",30,170,60,"Belgium","BEL","Athletics Women's 4 x 100 metres Relay"
"1191","Jaouad Gharib",2008,"M",36,176,66,"Morocco","MAR","Athletics Men's Marathon"
"1192","Habiba Al-Ghribi-Boudra",2012,"F",28,174,51,"Tunisia","TUN","Athletics Women's 3,000 metres Steeplechase"
"1193","Giuseppe Gibilisco",2004,"M",25,184,78,"Italy","ITA","Athletics Men's Pole Vault"
"1194","Merritt Hayward Giffin",1908,"M",20,186,84,"United States","USA","Athletics Men's Discus Throw"
"1195","Alfred Carleton ""A. C."" Gilbert",1908,"M",24,170,68,"United States","USA","Athletics Men's Pole Vault"
"1196","Glenroy John Gilbert",1996,"M",27,183,79,"Canada","CAN","Athletics Men's 4 x 100 metres Relay"
"1197","Cyril William Gill",1928,"M",26,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay"
"1198","Duncan Gillis",1912,"M",29,NA,NA,"Canada","CAN","Athletics Men's Hammer Throw"
"1199","Erwin Gillmeister",1936,"M",29,178,70,"Germany","GER","Athletics Men's 4 x 100 metres Relay"
"1200","Graham Chater Gipson",1956,"M",24,NA,NA,"Australia","AUS","Athletics Men's 4 x 400 metres Relay"
"1201","Patricia Girard-Lno",1996,"F",28,164,51,"France","FRA","Athletics Women's 100 metres Hurdles"
"1202","Carolina Anna ""Lien"" Gisolf (-Verdam)",1928,"F",17,181,69,"Netherlands","NED","Athletics Women's High Jump"
"1203","Christopher William ""Chris"" Gitsham",1912,"M",23,NA,NA,"South Africa","RSA","Athletics Men's Marathon"
"1204","Harvey Edward Glance",1976,"M",19,173,67,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1205","Edward Chester ""Ed"" Glover",1906,"M",21,NA,NA,"United States","USA","Athletics Men's Pole Vault"
"1206","Ernest Glover",1912,"M",21,180,68,"Great Britain","GBR","Athletics Men's Cross-Country, Team"
"1207","Stanley Brooks ""Stan"" Glover",1928,"M",20,NA,NA,"Canada","CAN","Athletics Men's 4 x 400 metres Relay"
"1208","Charles Henry Stuart Gmelin",1896,"M",23,NA,NA,"Great Britain","GBR","Athletics Men's 400 metres"
"1209","Beverley Lanita ""Bev"" Goddard-Callender",1980,"F",23,170,59,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay"
"1210","Beverley Lanita ""Bev"" Goddard-Callender",1984,"F",27,170,59,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay"
"1211","Gaston G. Godel",1948,"M",33,NA,NA,"Switzerland","SUI","Athletics Men's 50 kilometres Walk"
"1212","John Carl Godina",1996,"M",24,193,129,"United States","USA","Athletics Men's Shot Put"
"1213","John Carl Godina",2000,"M",28,193,129,"United States","USA","Athletics Men's Shot Put"
"1214","Bla Goldovnyi",1952,"M",26,176,78,"Hungary","HUN","Athletics Men's 4 x 100 metres Relay"
"1215","Dimitrios P. Golemis",1896,"M",21,NA,NA,"Greece","GRE","Athletics Men's 800 metres"
"1216","Mariya Vasilyevna Golubnichaya",1952,"F",28,167,60,"Soviet Union","URS","Athletics Women's 80 metres Hurdles"
"1217","Maria Francisca Philomena ""Mia"" Gommers (-Hoogakkers)",1968,"F",29,166,53,"Netherlands","NED","Athletics Women's 800 metres"
"1218","Svetlana Valentinovna Goncharenko (Doronina-)",2000,"F",29,173,63,"Russia","RUS","Athletics Women's 4 x 400 metres Relay"
"1219","Lajos Gnczy (Grn-)",1900,"M",19,NA,NA,"Hungary","HUN","Athletics Men's High Jump"
"1220","Lajos Gnczy (Grn-)",1906,"M",25,NA,NA,"Hungary","HUN","Athletics Men's High Jump"
"1221","Fernand Gonder",1906,"M",22,170,65,"France","FRA","Athletics Men's Pole Vault"
"1222","Gong Lijiao",2012,"F",23,175,105,"China","CHN","Athletics Women's Shot Put"
"1223","Tullio Gonnelli",1936,"M",23,184,78,"Italy","ITA","Athletics Men's 4 x 100 metres Relay"
"1224","Mara Guadalupe Gonzlez Romero",2016,"F",27,162,47,"Mexico","MEX","Athletics Women's 20 kilometres Walk"
"1225","Ral Gonzlez Rodrguez",1984,"M",32,175,64,"Mexico","MEX","Athletics Men's 20 kilometres Walk"
"1226","Ral Gonzlez Rodrguez",1984,"M",32,175,64,"Mexico","MEX","Athletics Men's 50 kilometres Walk"
"1227","John William Goodman",1956,"M",19,NA,NA,"Australia","AUS","Athletics Men's 4 x 400 metres Relay"
"1228","Gordon Reginald Goodwin",1924,"M",28,NA,NA,"Great Britain","GBR","Athletics Men's 10 kilometres Walk"
"1229","Yelena Yegorovna Gorchakova",1952,"F",19,167,69,"Soviet Union","URS","Athletics Women's Javelin Throw"
"1230","Yelena Yegorovna Gorchakova",1964,"F",31,167,69,"Soviet Union","URS","Athletics Women's Javelin Throw"
"1231","Fortune Everett Gordien",1948,"M",25,184,104,"United States","USA","Athletics Men's Discus Throw"
"1232","Fortune Everett Gordien",1956,"M",34,184,104,"United States","USA","Athletics Men's Discus Throw"
"1233","Chrisann Gordon",2016,"F",21,168,65,"Jamaica","JAM","Athletics Women's 4 x 400 metres Relay"
"1234","Edward Lansing ""Ed"" Gordon, Jr.",1932,"M",24,190,82,"United States","USA","Athletics Men's Long Jump"
"1235","Lalonde Keida Gordon",2012,"M",23,179,83,"Trinidad and Tobago","TTO","Athletics Men's 400 metres"
"1236","Lalonde Keida Gordon",2012,"M",23,179,83,"Trinidad and Tobago","TTO","Athletics Men's 4 x 400 metres Relay"
"1237","Reinaldo Berto Gorno",1952,"M",33,170,63,"Argentina","ARG","Athletics Men's Marathon"
"1238","Vladimir Mikhaylovich Goryayev",1960,"M",21,182,78,"Soviet Union","URS","Athletics Men's Triple Jump"
"1239","Richard Kevan Gosper",1956,"M",22,188,77,"Australia","AUS","Athletics Men's 4 x 400 metres Relay"
"1240","George Henry Goulding",1912,"M",26,NA,NA,"Canada","CAN","Athletics Men's 10 kilometres Walk"
"1241","Grantley Thomas Smart Goulding",1896,"M",22,NA,NA,"Great Britain","GBR","Athletics Men's 110 metres Hurdles"
"1242","Edward Orval ""Ned"" Gourdin",1924,"M",26,183,79,"United States","USA","Athletics Men's Long Jump"
"1243","Meredith Charles Gourdine (Gouardino-)",1952,"M",22,183,76,"United States","USA","Athletics Men's Long Jump"
"1244","Miltiadis Gouskos",1896,"M",NA,NA,NA,"Greece","GRE","Athletics Men's Shot Put"
"1245","Tatyana Gennadyevna Goyshchik (-Nasonova)",1980,"F",28,165,57,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay"
"1246","Robert Karl ""Robbie"" Grabarz",2012,"M",24,191,81,"Great Britain","GBR","Athletics Men's High Jump"
"1247","Samuel Louis ""Sam"" Graddy, III",1984,"M",20,178,70,"United States","USA","Athletics Men's 100 metres"
"1248","Samuel Louis ""Sam"" Graddy, III",1984,"M",20,178,70,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1249","Stephanie ""Steffi"" Graf (-Zitny)",2000,"F",27,170,60,"Austria","AUT","Athletics Women's 800 metres"
"1250","Glenn Graham",1924,"M",20,180,68,"United States","USA","Athletics Men's Pole Vault"
"1251","Kimberly Elaine ""Kim"" Graham (-Miller)",1996,"F",25,163,58,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"1252","Lorraine Graham (-Fenton)",2000,"F",27,174,59,"Jamaica","JAM","Athletics Women's 400 metres"
"1253","Lorraine Graham (-Fenton)",2000,"F",27,174,59,"Jamaica","JAM","Athletics Women's 4 x 400 metres Relay"
"1254","Timothy Joseph Michael ""Tim"" Graham",1964,"M",25,178,65,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"1255","Trevor Graham",1988,"M",24,182,71,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay"
"1256","Winthrop Graham",1988,"M",22,178,72,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay"
"1257","Winthrop Graham",1992,"M",26,178,72,"Jamaica","JAM","Athletics Men's 400 metres Hurdles"
"1258","John Joseph Gray",1924,"M",29,170,57,"United States","USA","Athletics Men's Cross-Country, Team"
"1259","John Lee ""Johnny"" Gray, Jr.",1992,"M",32,191,75,"United States","USA","Athletics Men's 800 metres"
"1260","Thomas William ""Tommy"" Green",1932,"M",38,NA,NA,"Great Britain","GBR","Athletics Men's 50 kilometres Walk"
"1261","Charles Edward ""Charlie"" Greene",1968,"M",23,173,69,"United States","USA","Athletics Men's 100 metres"
"1262","Charles Edward ""Charlie"" Greene",1968,"M",23,173,69,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1263","Joseph Tilford Lee ""Joe"" Greene",1992,"M",25,183,70,"United States","USA","Athletics Men's Long Jump"
"1264","Joseph Tilford Lee ""Joe"" Greene",1996,"M",29,183,70,"United States","USA","Athletics Men's Long Jump"
"1265","Maurice Greene",2000,"M",26,176,80,"United States","USA","Athletics Men's 100 metres"
"1266","Maurice Greene",2000,"M",26,176,80,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1267","Maurice Greene",2004,"M",30,176,80,"United States","USA","Athletics Men's 100 metres"
"1268","Maurice Greene",2004,"M",30,176,80,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1269","John Arthur ""Jack"" Gregory",1948,"M",25,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay"
"1270","Leonard Stuart ""Leon"" Gregory",1956,"M",23,NA,NA,"Australia","AUS","Athletics Men's 4 x 400 metres Relay"
"1271","Delorez Florence Griffith Joyner",1984,"F",24,170,57,"United States","USA","Athletics Women's 200 metres"
"1272","Delorez Florence Griffith Joyner",1988,"F",28,170,57,"United States","USA","Athletics Women's 100 metres"
"1273","Delorez Florence Griffith Joyner",1988,"F",28,170,57,"United States","USA","Athletics Women's 200 metres"
"1274","Delorez Florence Griffith Joyner",1988,"F",28,170,57,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"1275","Delorez Florence Griffith Joyner",1988,"F",28,170,57,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"1276","Cecil Richmond Griffiths",1920,"M",19,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"1277","Tatiana Grigorieva",2000,"F",24,180,64,"Australia","AUS","Athletics Women's Pole Vault"
"1278","David Allan Grindley",1992,"M",19,188,79,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"1279","Hans Grodotzki",1960,"M",24,175,65,"Germany","GER","Athletics Men's 5,000 metres"
"1280","Hans Grodotzki",1960,"M",24,175,65,"Germany","GER","Athletics Men's 10,000 metres"
"1281","Herman Charles Groman",1904,"M",21,NA,NA,"United States","USA","Athletics Men's 400 metres"
"1282","Ivan Gubijan",1948,"M",25,172,83,"Yugoslavia","YUG","Athletics Men's Hammer Throw"
"1283","Ana Gabriela Guevara Espinoza",2004,"F",27,173,61,"Mexico","MEX","Athletics Women's 400 metres"
"1284","Carlette Denise Guidry-White (-Falkquay)",1992,"F",23,168,50,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"1285","Carlette Denise Guidry-White (-Falkquay)",1996,"F",27,168,50,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"1286","Joseph Guillemot",1920,"M",20,160,55,"France","FRA","Athletics Men's 5,000 metres"
"1287","Joseph Guillemot",1920,"M",20,160,55,"France","FRA","Athletics Men's 10,000 metres"
"1288","Saida Gunba (-Kikidze)",1980,"F",20,168,74,"Soviet Union","URS","Athletics Women's Javelin Throw"
"1289","Adam Beattie Gunn",1904,"M",31,NA,NA,"United States","USA","Athletics Men's All-Around Championship"
"1290","Charles Edward James ""Charlie"" Gunn",1920,"M",34,NA,NA,"Great Britain","GBR","Athletics Men's 10 kilometres Walk"
"1291","Sally Jane Janet Gunnell (-Bigg)",1992,"F",25,167,58,"Great Britain","GBR","Athletics Women's 400 metres Hurdles"
"1292","Sally Jane Janet Gunnell (-Bigg)",1992,"F",25,167,58,"Great Britain","GBR","Athletics Women's 4 x 400 metres Relay"
"1293","Werner Gnthr",1988,"M",27,200,128,"Switzerland","SUI","Athletics Men's Shot Put"
"1294","Ilona Maria Gusenbauer (Majdan-)",1972,"F",24,181,67,"Austria","AUT","Athletics Women's High Jump"
"1295","Eduard Viktorovich Gushchin",1968,"M",28,192,126,"Soviet Union","URS","Athletics Men's Shot Put"
"1296","Yuliya Aleksandrovna Gushchina",2008,"F",25,174,61,"Russia","RUS","Athletics Women's 4 x 100 metres Relay"
"1297","Yuliya Aleksandrovna Gushchina",2008,"F",25,174,61,"Russia","RUS","Athletics Women's 4 x 400 metres Relay"
"1298","Yuliya Aleksandrovna Gushchina",2012,"F",29,174,61,"Russia","RUS","Athletics Women's 4 x 400 metres Relay"
"1299","Bo Henning Gustafsson",1984,"M",29,175,64,"Sweden","SWE","Athletics Men's 50 kilometres Walk"
"1300","Robert Allen ""Bob"" Gutowski",1956,"M",21,183,68,"United States","USA","Athletics Men's Pole Vault"
"1301","Albert Lovejoy Gutterson",1912,"M",24,185,82,"United States","USA","Athletics Men's Long Jump"
"1302","Olga Gyarmati (-Vrkonyi, -Aczl)",1948,"F",23,166,57,"Hungary","HUN","Athletics Women's Long Jump"
"1303","Karl-Friedrich Haas",1952,"M",20,186,72,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"1304","Karl-Friedrich Haas",1956,"M",25,186,72,"Germany","GER","Athletics Men's 400 metres"
"1305","Ehsan Haddadi",2012,"M",27,192,120,"Iran","IRI","Athletics Men's Discus Throw"
"1306","Ernst Gte Hagstrm",1948,"M",29,NA,NA,"Sweden","SWE","Athletics Men's 3,000 metres Steeplechase"
"1307","Charles Archibald ""Archie"" Hahn",1904,"M",23,167,64,"United States","USA","Athletics Men's 60 metres"
"1308","Charles Archibald ""Archie"" Hahn",1904,"M",23,167,64,"United States","USA","Athletics Men's 100 metres"
"1309","Charles Archibald ""Archie"" Hahn",1904,"M",23,167,64,"United States","USA","Athletics Men's 200 metres"
"1310","Charles Archibald ""Archie"" Hahn",1906,"M",25,167,64,"United States","USA","Athletics Men's 100 metres"
"1311","Murray Gordon Halberg",1960,"M",27,178,62,"New Zealand","NZL","Athletics Men's 5,000 metres"
"1312","Arman Hall",2016,"M",22,183,75,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"1313","Darnell Kenneth Hall",1992,"M",20,183,78,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"1314","David Connolly ""Dave"" Hall",1900,"M",25,NA,NA,"United States","USA","Athletics Men's 800 metres"
"1315","Ervin Henry ""Erv"" Hall",1968,"M",21,183,75,"United States","USA","Athletics Men's 110 metres Hurdles"
"1316","Evelyne Ruth Hall (Davidson-, -Adams, -Butler)",1932,"F",22,167,58,"United States","USA","Athletics Women's 80 metres Hurdles"
"1317","Norman Frederick Hallows",1908,"M",21,175,60,"Great Britain","GBR","Athletics Men's 1,500 metres"
"1318","Norman Frederick Hallows",1908,"M",21,175,60,"Great Britain","GBR","Athletics Men's 3 mile, Team"
"1319","William Halpenny",1912,"M",29,NA,NA,"Canada","CAN","Athletics Men's Pole Vault"
"1320","Arne Halse",1908,"M",20,172,80,"Norway","NOR","Athletics Men's Javelin Throw"
"1321","Arne Halse",1908,"M",20,172,80,"Norway","NOR","Athletics Men's Javelin Throw, Freestyle"
"1322","Nellie Halstead",1932,"F",21,NA,NA,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay"
"1323","Wyndham Halswelle",1906,"M",23,NA,NA,"Great Britain","GBR","Athletics Men's 400 metres"
"1324","Wyndham Halswelle",1906,"M",23,NA,NA,"Great Britain","GBR","Athletics Men's 800 metres"
"1325","Wyndham Halswelle",1908,"M",25,NA,NA,"Great Britain","GBR","Athletics Men's 400 metres"
"1326","Helmut Hamann",1936,"M",23,175,62,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"1327","Brutus Kerr Hamilton",1920,"M",19,183,80,"United States","USA","Athletics Men's Decathlon"
"1328","William Franklin ""Frank"" Hamilton",1908,"M",24,176,70,"United States","USA","Athletics Men's 1,600 metres Medley Relay"
"1329","Edward Barton ""Ed"" Hamm",1928,"M",22,179,70,"United States","USA","Athletics Men's Long Jump"
"1330","Abderrahmane Hammad Zaheer",2000,"M",23,189,70,"Algeria","ALG","Athletics Men's High Jump"
"1331","Kathleen ""Kathy"" Hammond (-Tyson)",1972,"F",20,170,55,"United States","USA","Athletics Women's 400 metres"
"1332","Kathleen ""Kathy"" Hammond (-Tyson)",1972,"F",20,170,55,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"1333","Thomas ""Tommy"" Hampson",1932,"M",24,184,69,"Great Britain","GBR","Athletics Men's 800 metres"
"1334","Thomas ""Tommy"" Hampson",1932,"M",24,184,69,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"1335","Millard Frank Hampton, Jr.",1976,"M",20,180,75,"United States","USA","Athletics Men's 200 metres"
"1336","Millard Frank Hampton, Jr.",1976,"M",20,180,75,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1337","Wolfgang Hanisch",1980,"M",29,187,105,"East Germany","GDR","Athletics Men's Javelin Throw"
"1338","Frederick Morgan ""Fred"" Hansen",1964,"M",23,183,75,"United States","USA","Athletics Men's Pole Vault"
"1339","Sverre Hilmar Hansen",1924,"M",24,174,66,"Norway","NOR","Athletics Men's Long Jump"
"1340","Marcel Fernand Hansenne",1948,"M",31,184,72,"France","FRA","Athletics Men's 800 metres"
"1341","Masao Harada",1936,"M",23,177,60,"Japan","JPN","Athletics Men's Triple Jump"
"1342","Rudolf Waldemar ""Rudi"" Harbig",1936,"M",22,174,62,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"1343","James Edward ""Trey"" Hardee, III",2012,"M",28,196,96,"United States","USA","Athletics Men's Decathlon"
"1344","Timothy M. ""Tim"" Harden",1996,"M",22,178,77,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1345","Glenn Foster Hardin",1932,"M",22,188,75,"United States","USA","Athletics Men's 400 metres Hurdles"
"1346","Glenn Foster Hardin",1936,"M",26,188,75,"United States","USA","Athletics Men's 400 metres Hurdles"
"1347","Catherine ""Cathy"" Hardy (-Lavender)",1952,"F",22,157,47,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"1348","Thomas Truxtun Hare",1900,"M",21,185,90,"United States","USA","Athletics Men's Hammer Throw"
"1349","Thomas Truxtun Hare",1904,"M",25,185,90,"United States","USA","Athletics Men's All-Around Championship"
"1350","Arsi Ilari Harju",2000,"M",26,183,110,"Finland","FIN","Athletics Men's Shot Put"
"1351","Matti Efer ""Efraim"" Harju",1912,"M",22,178,65,"Finland","FIN","Athletics Men's Cross-Country, Team"
"1352","Arto Kalevi Hrknen",1984,"M",25,190,90,"Finland","FIN","Athletics Men's Javelin Throw"
"1353","Arthur Harold ""Art"" Harnden",1948,"M",24,176,73,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"1354","Dawn Harper (-Everhart, -Nelson)",2008,"F",24,168,61,"United States","USA","Athletics Women's 100 metres Hurdles"
"1355","Dawn Harper (-Everhart, -Nelson)",2012,"F",28,168,61,"United States","USA","Athletics Women's 100 metres Hurdles"
"1356","Ernest ""Ernie"" Harper",1936,"M",34,168,58,"Great Britain","GBR","Athletics Men's Marathon"
"1357","Daniel Lee ""Danny"" Harris",1984,"M",18,183,77,"United States","USA","Athletics Men's 400 metres Hurdles"
"1358","Otis Harris, Jr.",2004,"M",22,185,83,"United States","USA","Athletics Men's 400 metres"
"1359","Otis Harris, Jr.",2004,"M",22,185,83,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"1360","Alvin Leonardo Harrison",1996,"M",22,188,80,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"1361","Alvin Leonardo Harrison",2000,"M",26,188,80,"United States","USA","Athletics Men's 400 metres"
"1362","Kerry Lorenzo ""Kenny"" Harrison",1996,"M",31,178,77,"United States","USA","Athletics Men's Triple Jump"
"1363","Edward James ""Eddie"" Hart",1972,"M",23,178,69,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"1364","Christoph Harting",2016,"M",26,207,120,"Germany","GER","Athletics Men's Discus Throw"
"1365","Robert Harting",2012,"M",27,201,126,"Germany","GER","Athletics Men's Discus Throw"
"1366","Samuel Glenn Hartranft",1924,"M",22,190,115,"United States","USA","Athletics Men's Shot Put"
"1367","Armin Hary",1960,"M",23,182,71,"Germany","GER","Athletics Men's 100 metres"
"1368","Armin Hary",1960,"M",23,182,71,"Germany","GER","Athletics Men's 4 x 100 metres Relay"
"1369","Natasha Monique Hastings",2008,"F",22,173,68,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"1370","Natasha Monique Hastings",2016,"F",30,173,68,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"1371","Sidney Herbert Hatch",1904,"M",20,168,57,"Chicago Athletic Association","USA","Athletics Men's 4 mile, Team"
"1372","W. James Hatton",1920,"M",NA,NA,NA,"Great Britain","GBR","Athletics Men's 3,000 metres, Team"
"1373","Gregory ""Greg"" Haughton",1996,"M",22,185,79,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay"
"1374","Gregory ""Greg"" Haughton",2000,"M",26,185,79,"Jamaica","JAM","Athletics Men's 400 metres"
"1375","Gregory ""Greg"" Haughton",2000,"M",26,185,79,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay"
"1376","Martin William Hawkins (Hakansson-)",1912,"M",24,175,68,"United States","USA","Athletics Men's 110 metres Hurdles"
"1377","Henry Courtenay Hawtrey",1906,"M",23,NA,NA,"Great Britain","GBR","Athletics Men's 5 mile"
