"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"3633","Vilho Immanuel ""Ville"" Tuulos",1924,"M",29,183,77,"Finland","FIN","Athletics Men's Triple Jump"
"3634","Vilho Immanuel ""Ville"" Tuulos",1928,"M",33,183,77,"Finland","FIN","Athletics Men's Triple Jump"
"3635","Albert Clinton Tyler",1896,"M",24,NA,NA,"United States","USA","Athletics Men's Pole Vault"
"3636","Tamara Andreyevna Tyshkevich",1956,"F",25,170,116,"Soviet Union","URS","Athletics Women's Shot Put"
"3637","Alfred Ernest Tysoe",1900,"M",26,175,70,"Great Britain","GBR","Athletics Men's 800 metres"
"3638","Alfred Ernest Tysoe",1900,"M",26,175,70,"Amateur Athletic Association","GBR","Athletics Men's 5,000 metres, Team"
"3639","Kjersti Tysse-Pltzer",2000,"F",28,173,55,"Norway","NOR","Athletics Women's 20 kilometres Walk"
"3640","Kjersti Tysse-Pltzer",2008,"F",36,173,55,"Norway","NOR","Athletics Women's 20 kilometres Walk"
"3641","Wyomia Tyus (-Simburg)",1964,"F",19,172,61,"United States","USA","Athletics Women's 100 metres"
"3642","Wyomia Tyus (-Simburg)",1964,"F",19,172,61,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"3643","Wyomia Tyus (-Simburg)",1968,"F",23,172,61,"United States","USA","Athletics Women's 100 metres"
"3644","Wyomia Tyus (-Simburg)",1968,"F",23,172,61,"United States","USA","Athletics Women's 4 x 100 metres Relay"
"3645","Romas Ubartas",1988,"M",28,203,120,"Soviet Union","URS","Athletics Men's Discus Throw"
"3646","Romas Ubartas",1992,"M",32,203,120,"Lithuania","LTU","Athletics Men's Discus Throw"
"3647","Enee Enefiok Udo-Obong",2000,"M",18,185,82,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay"
"3648","Enee Enefiok Udo-Obong",2004,"M",22,185,82,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay"
"3649","Moses Omote Ugbisien",1984,"M",18,182,76,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay"
"3650","Bertil Gustafsson Uggla",1912,"M",21,173,69,"Sweden","SWE","Athletics Men's Pole Vault"
"3651","Ivan Sergeyevich Ukhov",2012,"M",26,192,67,"Russia","RUS","Athletics Men's High Jump"
"3652","Heinrich-Otto ""Heinz"" Ulzheimer",1952,"M",26,178,74,"Germany","GER","Athletics Men's 800 metres"
"3653","Heinrich-Otto ""Heinz"" Ulzheimer",1952,"M",26,178,74,"Germany","GER","Athletics Men's 4 x 400 metres Relay"
"3654","George Bernard Underwood",1904,"M",19,176,74,"New York Athletic Club","USA","Athletics Men's 4 mile, Team"
"3655","Sunday Uti",1984,"M",21,175,68,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay"
"3656","Beatrice Utondu (-Okoye)",1992,"F",22,162,59,"Nigeria","NGR","Athletics Women's 4 x 100 metres Relay"
"3657","Jaak Uudme",1980,"M",25,190,73,"Soviet Union","URS","Athletics Men's Triple Jump"
